# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Dec 09 15:17:54 AEDT 2019 [seed=1575863808847]
# -overwrite ebola_early2014_ucld_het.xml
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
277000	-20298.638007066915	-21376.43974766732	-1077.8017406004046	1.0	-21376.43974766732
278000	-20286.89239083336	-21370.0731706767	-1083.1807798433388	1.0	-21370.0731706767
279000	-20292.710720695053	-21384.513558244525	-1091.8028375494716	1.0	-21384.513558244525
280000	-20291.55474688457	-21382.51292203151	-1090.9581751469425	1.0	-21382.51292203151
281000	-20283.027574501335	-21391.74846172247	-1108.7208872211331	1.0	-21391.74846172247
282000	-20275.498200698938	-21396.07943831769	-1120.5812376187519	1.0	-21396.07943831769
283000	-20281.86391656451	-21394.720192719207	-1112.8562761546955	1.0	-21394.720192719207
284000	-20275.30423280147	-21386.143227863147	-1110.8389950616756	1.0	-21386.143227863147
285000	-20269.79450301686	-21383.2906815121	-1113.4961784952407	1.0	-21383.2906815121
286000	-20273.413576910738	-21375.60640690311	-1102.1928299923698	1.0	-21375.60640690311
287000	-20271.107297518833	-21389.104835553604	-1117.997538034771	1.0	-21389.104835553604
288000	-20268.8217875848	-21384.042563707866	-1115.2207761230657	1.0	-21384.042563707866
289000	-20278.109903843197	-21393.445520776142	-1115.335616932945	1.0	-21393.445520776142
290000	-20277.34834899338	-21396.315767900254	-1118.967418906877	1.0	-21396.315767900254
291000	-20273.486556504824	-21390.57564225476	-1117.089085749937	1.0	-21390.57564225476
292000	-20272.30907049937	-21397.752957169567	-1125.4438866701964	1.0	-21397.752957169567
293000	-20269.358325385823	-21394.25169998097	-1124.8933745951456	1.0	-21394.25169998097
294000	-20268.901163917817	-21394.457858137077	-1125.5566942192613	1.0	-21394.457858137077
295000	-20272.421831239342	-21393.665459175914	-1121.243627936572	1.0	-21393.665459175914
296000	-20273.22177566106	-21385.813630774235	-1112.5918551131756	1.0	-21385.813630774235
297000	-20275.576025272556	-21395.214497343262	-1119.638472070707	1.0	-21395.214497343262
298000	-20268.91282940033	-21381.694829437733	-1112.7820000374006	1.0	-21381.694829437733
299000	-20270.30965944997	-21388.036800321734	-1117.727140871765	1.0	-21388.036800321734
300000	-20269.341736768074	-21381.28809215072	-1111.9463553826452	1.0	-21381.28809215072
301000	-20263.56296998814	-21380.533587300968	-1116.9706173128307	1.0	-21380.533587300968
302000	-20262.67968933971	-21384.201814960077	-1121.5221256203658	1.0	-21384.201814960077
303000	-20255.716940928924	-21375.254271521488	-1119.5373305925636	1.0	-21375.254271521488
304000	-20254.57782616897	-21373.679492017247	-1119.1016658482758	1.0	-21373.679492017247
305000	-20257.60557449818	-21383.34931935905	-1125.7437448608719	1.0	-21383.34931935905
306000	-20262.83792724557	-21409.60888825453	-1146.7709610089596	1.0	-21409.60888825453
307000	-20264.439049395445	-21384.996204998133	-1120.557155602688	1.0	-21384.996204998133
308000	-20266.07771972457	-21389.162452159002	-1123.084732434432	1.0	-21389.162452159002
309000	-20263.78170178082	-21389.46244670028	-1125.680744919462	1.0	-21389.46244670028
310000	-20254.248057814035	-21390.19745889368	-1135.9494010796434	1.0	-21390.19745889368
311000	-20260.5173643768	-21403.04409603466	-1142.5267316578615	1.0	-21403.04409603466
312000	-20268.266609114442	-21386.715191742027	-1118.4485826275863	1.0	-21386.715191742027
313000	-20256.16278186598	-21390.86559851906	-1134.7028166530795	1.0	-21390.86559851906
314000	-20261.128695405547	-21390.35479700783	-1129.226101602283	1.0	-21390.35479700783
315000	-20255.438297864614	-21388.685274218635	-1133.2469763540214	1.0	-21388.685274218635
316000	-20266.77500338689	-21395.74229397033	-1128.9672905834375	1.0	-21395.74229397033
317000	-20254.269549080138	-21389.283798594846	-1135.0142495147097	1.0	-21389.283798594846
318000	-20258.290648335027	-21390.86374214504	-1132.5730938100132	1.0	-21390.86374214504
319000	-20265.40432769296	-21377.442175785953	-1112.0378480929921	1.0	-21377.442175785953
320000	-20264.16066118242	-21392.69903383013	-1128.5383726477096	1.0	-21392.69903383013
321000	-20260.67863509107	-21393.625811158152	-1132.9471760670815	1.0	-21393.625811158152
322000	-20257.71889055679	-21387.798071409325	-1130.0791808525341	1.0	-21387.798071409325
323000	-20260.72224156076	-21403.565419440623	-1142.8431778798615	1.0	-21403.565419440623
324000	-20258.54972134104	-21410.944972578378	-1152.3952512373362	1.0	-21410.944972578378
325000	-20259.99645603154	-21401.5307279705	-1141.5342719389616	1.0	-21401.5307279705
326000	-20262.8181865763	-21403.085771023932	-1140.2675844476319	1.0	-21403.085771023932
327000	-20262.6985481649	-21402.41178369331	-1139.7132355284107	1.0	-21402.41178369331
328000	-20260.566030032303	-21395.238978559562	-1134.6729485272597	1.0	-21395.238978559562
329000	-20268.15485257206	-21398.40210442782	-1130.2472518557602	1.0	-21398.40210442782
330000	-20266.89017156249	-21395.04760201305	-1128.157430450563	1.0	-21395.04760201305
331000	-20270.143147869316	-21388.61269540699	-1118.4695475376761	1.0	-21388.61269540699
332000	-20269.57235575629	-21396.305597591214	-1126.733241834927	1.0	-21396.305597591214
333000	-20271.19704016093	-21392.757855797172	-1121.5608156362425	1.0	-21392.757855797172
334000	-20269.22125037829	-21393.797417461752	-1124.576167083461	1.0	-21393.797417461752
335000	-20273.883628436513	-21387.045685326826	-1113.1620568903131	1.0	-21387.045685326826
336000	-20270.256733630406	-21390.20038565166	-1119.9436520212544	1.0	-21390.20038565166
337000	-20271.150867655	-21394.16965699944	-1123.0187893444386	1.0	-21394.16965699944
338000	-20274.953333238504	-21388.251521905786	-1113.2981886672826	1.0	-21388.251521905786
339000	-20277.07405976831	-21391.565866924513	-1114.4918071562013	1.0	-21391.565866924513
340000	-20269.992074175843	-21386.493302310348	-1116.5012281345043	1.0	-21386.493302310348
341000	-20274.237157030333	-21379.75628784095	-1105.5191308106193	1.0	-21379.75628784095
342000	-20273.145291384863	-21381.95648885234	-1108.8111974674773	1.0	-21381.95648885234
343000	-20276.11192727524	-21388.723291396745	-1112.6113641215065	1.0	-21388.723291396745
344000	-20270.55502523917	-21386.08591789839	-1115.530892659217	1.0	-21386.08591789839
345000	-20270.506016373318	-21379.76453719439	-1109.2585208210746	1.0	-21379.76453719439
346000	-20274.00186520137	-21386.561103465057	-1112.5592382636876	1.0	-21386.561103465057
347000	-20277.996251529243	-21389.91441043245	-1111.9181589032073	1.0	-21389.91441043245
348000	-20271.282162823736	-21389.20515129863	-1117.9229884748947	1.0	-21389.20515129863
349000	-20260.505763204703	-21388.691536335446	-1128.1857731307423	1.0	-21388.691536335446
350000	-20264.396990647645	-21391.399273009392	-1127.0022823617464	1.0	-21391.399273009392
351000	-20257.020902534212	-21396.952545537875	-1139.9316430036624	1.0	-21396.952545537875
352000	-20270.745580403258	-21398.710423876375	-1127.9648434731166	1.0	-21398.710423876375
353000	-20270.793562292423	-21384.291402981515	-1113.4978406890903	1.0	-21384.291402981515
354000	-20273.168518462346	-21392.441759508416	-1119.2732410460712	1.0	-21392.441759508416
355000	-20278.14187544172	-21391.779342374462	-1113.637466932743	1.0	-21391.779342374462
356000	-20275.983166328355	-21393.406255955324	-1117.42308962697	1.0	-21393.406255955324
357000	-20276.70886734264	-21391.12767132788	-1114.4188039852384	1.0	-21391.12767132788
358000	-20271.31880823603	-21389.2448363257	-1117.9260280896694	1.0	-21389.2448363257
359000	-20274.648988817426	-21388.15604530729	-1113.5070564898633	1.0	-21388.15604530729
360000	-20272.27283797286	-21379.31377379882	-1107.0409358259599	1.0	-21379.31377379882
361000	-20267.615923723726	-21385.729312585154	-1118.113388861426	1.0	-21385.729312585154
362000	-20270.806638135276	-21385.925327623052	-1115.1186894877737	1.0	-21385.925327623052
363000	-20272.922166825523	-21372.05758763328	-1099.1354208077564	1.0	-21372.05758763328
364000	-20275.04504808892	-21385.170078948962	-1110.1250308600413	1.0	-21385.170078948962
365000	-20271.062353263016	-21388.732801246435	-1117.6704479834186	1.0	-21388.732801246435
366000	-20269.922121913653	-21389.78249604634	-1119.8603741326892	1.0	-21389.78249604634
367000	-20266.07002710211	-21385.41771129417	-1119.3476841920597	1.0	-21385.41771129417
368000	-20257.075364461256	-21391.240657864935	-1134.1652934036788	1.0	-21391.240657864935
369000	-20251.436622783396	-21385.74696042766	-1134.3103376442623	1.0	-21385.74696042766
370000	-20257.328346980114	-21393.33223116283	-1136.003884182717	1.0	-21393.33223116283
371000	-20247.27120954194	-21391.756658667367	-1144.4854491254252	1.0	-21391.756658667367
372000	-20260.93588972991	-21407.067719271785	-1146.1318295418746	1.0	-21407.067719271785
373000	-20270.64132334611	-21385.422710576666	-1114.7813872305571	1.0	-21385.422710576666
374000	-20272.41726623239	-21381.083055943163	-1108.665789710771	1.0	-21381.083055943163
375000	-20262.79131421234	-21372.90682999413	-1110.1155157817898	1.0	-21372.90682999413
376000	-20264.07867156143	-21367.960388105417	-1103.881716543987	1.0	-21367.960388105417
377000	-20261.058253338706	-21372.72070201287	-1111.662448674163	1.0	-21372.72070201287
378000	-20263.184822631185	-21365.979985122485	-1102.7951624913007	1.0	-21365.979985122485
379000	-20264.613069316092	-21383.806910299147	-1119.1938409830552	1.0	-21383.806910299147
380000	-20263.136120061336	-21378.907158017995	-1115.7710379566608	1.0	-21378.907158017995
381000	-20259.866064838985	-21380.15398243778	-1120.287917598794	1.0	-21380.15398243778
382000	-20265.417860194193	-21384.396800948285	-1118.9789407540934	1.0	-21384.396800948285
383000	-20262.673652505575	-21384.617392110395	-1121.943739604821	1.0	-21384.617392110395
